CODECODE,国民经济行业类型,等级
C02435,天然植物纤维编织工艺品制造,4
C02436,抽纱刺绣工艺品制造,4
C02437,地毯、挂毯制造,4
C02438,珠宝首饰及有关物品制造,4
C02439,其他工艺美术及礼仪用品制造,4
C0244,体育用品制造,3
C02441,球类制造,4
C02442,专项运动器材及配件制造,4
C02443,健身器材制造,4
C02444,运动防护用具制造,4
C02449,其他体育用品制造,4
C0245,玩具制造,3
C02451,电玩具制造,4
C02452,塑胶玩具制造,4
C02453,金属玩具制造,4
C02454,弹射玩具制造,4
C02455,娃娃玩具制造,4
C02456,儿童乘骑玩耍的童车类产品制造,4
C02459,其他玩具制造,4
C0246,游艺器材及娱乐用品制造,3
C02461,露天游乐场所游乐设备制造,4
C02462,游艺用品及室内游艺器材制造,4
C02469,其他娱乐用品制造,4
C025,石油、煤炭及其他燃料加工业,2
C0251,精炼石油产品制造,3
C02511,原油加工及石油制品制造,4
C02519,其他原油制造,4
C0252,煤炭加工,3
C02521,炼焦,4
C02522,煤制合成气生产,4
C02523,煤制液体燃料生产,4
C02524,煤制品制造,4
C02529,其他煤炭加工,4
C0253,核燃料加工,3
C0254,生物质燃料加工,3
C02541,生物质液体燃料生产,4
C02542,生物质致密成型燃料加工,4
C026,化学原料和化学制品制造业,2
C0261,基础化学原料制造,3
C02611,无机酸制造,4
C02612,无机碱制造,4
C02613,无机盐制造,4
C02614,有机化学原料制造,4
C02619,其他基础化学原料制造,4
C0262,肥料制造,3
C02621,氮肥制造,4
C02622,磷肥制造,4
C02623,钾肥制造,4
C02624,复混肥料制造,4
C02625,有机肥料及微生物肥料制造,4
C02629,其他肥料制造,4
C0263,农药制造,3
C02631,化学农药制造,4
C02632,生物化学农药及微生物农药制造,4
C0264,涂料、油墨、颜料及类似产品制造,3
C02641,涂料制造,4
C02642,油墨及类似产品制造,4
C02643,工业颜料制造,4
C02644,工艺美术颜料制造,4
C02645,染料制造,4
C02646,密封用填料及类似品制造,4
C0265,合成材料制造,3
C02651,初级形态塑料及合成树脂制造,4
C02652,合成橡胶制造,4
C02653,合成纤维单（聚合)体制造,4
C02659,其他合成材料制造,4
C0266,专用化学产品制造,3
C02661,化学试剂和助剂制造,4
C02662,专项化学用品制造,4
C02663,林产化学产品制造,4
C02664,文化用信息化学品制造,4
C02665,医学生产用信息化学品制造,4
C02666,环境污染处理专用药剂材料制造,4
C02667,动物胶制造,4
C02669,其他专用化学产品制造,4
C0267,炸药、火工及焰火产品制造,3
C02671,炸药及火工产品制造,4
C02672,焰火、鞭炮产品制造,4
C0268,日用化学产品制造,3
C02681,肥皂及洗涤剂制造,4
C02682,化妆品制造,4
C02683,口腔清洁用品制造,4
C02684,香料、香精制造,4
C02689,其他日用化学产品制造,4
C027,医药制造业,2
C0271,化学药品原料药制造,3
C0272,化学药品制剂制造,3
C0273,中药饮片加工,3
C0274,中成药生产,3
C0275,兽用药品制造,3
C0276,生物药品制品制造,3
C02761,生物药品制造,4
C02762,基因工程药物和疫苗制造,4
C0277,卫生材料及医药用品制造,3
C0278,药用辅料及包装材料,3
C028,化学纤维制造业,2
C0281,纤维素纤维原料及纤维制造,3
C02811,化纤浆粕制造,4
C02812,人造纤维（纤维素纤维）制造,4
C0282,合成纤维制造,3
C02821,锦纶纤维制造,4
C02822,涤纶纤维制造,4
C02823,腈纶纤维制造,4
C02824,维纶纤维制造,4
C02825,丙纶纤维制造,4
C02826,氨纶纤维制造,4
C02829,其他合成纤维制造,4
C0283,生物基材料制造,3
C02831,生物基化学纤维制造,4
C02832,生物基、淀粉基新材料制造,4
C029,橡胶和塑料制品业,2
C0291,橡胶制品业,3
C02911,轮胎制造,4
C02912,橡胶板、管、带制造,4
C02913,橡胶零件制造,4
C02914,再生橡胶制造,4
C02915,日用及医用橡胶制品制造,4
C02916,运动场地用塑胶制造,4
C02919,其他橡胶制品制造,4
C0292,塑料制品业,3
C02921,塑料薄膜制造,4
C02922,塑料板、管、型材制造,4
C02923,塑料丝、绳及编织品制造,4
C02924,泡沫塑料制造,4
C02925,塑料人造革、合成革制造,4
C02926,塑料包装箱及容器制造,4
C02927,曰用塑料制品制造,4
C02928,人造草坪制造,4
C02929,塑料零件及其他塑料制品制造,4
